doy,year,tmax,tmin
222,2040,35.05682757,25.50713542
222,2041,30.84189145,19.87343994
222,2042,38.49301147,24.19272197
222,2043,32.17051761,24.26742846
222,2044,33.17735834,22.6088308
222,2045,36.92993377,24.21923559
222,2046,35.13654531,23.59346153
222,2047,34.5042493,24.66107229
222,2048,34.15441261,25.86280632
222,2049,35.184816,26.0520153
222,2050,34.73240599,23.2815772
222,2051,35.43061073,21.83265791
222,2052,34.01983214,25.93800163
222,2053,35.10694872,25.0076126
222,2054,30.43900663,24.28846109
222,2055,35.76345005,23.19912089
222,2056,35.11969836,24.10111968
222,2057,35.60790775,23.89669078
222,2058,33.55051861,24.02488879
222,2059,30.90654714,23.51986016
222,2060,32.29905497,22.2571672
222,2061,35.58372262,24.22047767
222,2062,34.51200505,25.03020194
222,2063,28.34584091,23.84947983
222,2064,35.27856769,23.16910883
222,2065,31.96463281,24.55265125
222,2066,36.21074696,24.24921122
222,2067,34.08427855,21.9153809
222,2068,34.99043332,26.25587273
222,2069,34.980344,25.94727898
223,2040,32.73475069,24.82323031
223,2041,31.03821629,20.67399006
223,2042,39.14804077,24.10312557
223,2043,31.25334137,22.63405094
223,2044,32.94154185,22.98588553
223,2045,35.04662976,24.83246267
223,2046,34.90989536,23.97822347
223,2047,33.32215243,24.37940049
223,2048,33.29664259,25.85279655
223,2049,36.5810384,24.66580683
223,2050,38.15365601,23.54150602
223,2051,36.82823835,23.25863823
223,2052,34.50444319,24.63621595
223,2053,34.68921287,24.75931401
223,2054,36.34586017,23.87653749
223,2055,37.10457051,23.73534849
223,2056,37.50932143,23.46423727
223,2057,36.77437832,24.26817371
223,2058,33.57818366,25.32599447
223,2059,29.83815908,23.47271968
223,2060,34.16905684,23.08449276
223,2061,36.22632251,24.47861664
223,2062,34.52460815,24.17413406
223,2063,28.12004838,23.43262192
223,2064,34.98750416,24.44070551
223,2065,34.17568161,24.30444257
223,2066,36.58967356,24.01670708
223,2067,36.19911221,20.99028683
223,2068,35.93944896,26.45142937
223,2069,35.45534139,24.59318416
224,2040,33.38802112,25.49243104
224,2041,32.06709658,20.05695794
224,2042,39.35897827,24.44125781
224,2043,29.65321784,23.07932931
224,2044,32.14059243,23.10214887
224,2045,34.15118739,25.59408308
224,2046,34.58511916,23.83184571
224,2047,32.39738848,21.30741635
224,2048,36.17471677,26.38355827
224,2049,36.56596344,24.59380457
224,2050,39.86703491,23.61658059
224,2051,34.05116847,22.30049686
224,2052,36.83058009,24.37001143
224,2053,33.62458204,25.59301755
224,2054,35.07028,26.55494499
224,2055,36.95142151,25.15870547
224,2056,38.83261108,23.44248751
224,2057,36.58323378,24.9255664
224,2058,35.18899786,25.92481804
224,2059,29.77931515,23.02329412
224,2060,35.52025938,24.64343612
224,2061,35.69537675,24.00456237
224,2062,35.95919204,23.51892715
224,2063,31.07431333,23.76999414
224,2064,34.62269542,21.8358313
224,2065,32.79584514,24.10593381
224,2066,36.49922385,22.88763899
224,2067,36.65421778,22.11406882
224,2068,35.09154352,26.12183952
224,2069,34.10378984,24.19486159
225,2040,34.57284425,25.9245739
225,2041,34.58812526,21.20284024
225,2042,38.79330444,26.38233757
225,2043,31.98326798,22.23176162
225,2044,32.40969961,24.29856337
225,2045,32.01388292,26.24195671
225,2046,34.98565988,23.51056427
225,2047,36.18672684,23.08758258
225,2048,36.79603942,25.35540323
225,2049,36.480929,25.56403499
225,2050,39.85873413,23.56352509
225,2051,34.76999659,24.63351028
225,2052,35.4946195,25.80811882
225,2053,35.35188141,26.40601921
225,2054,37.55776652,26.54029655
225,2055,34.3627146,26.93751335
225,2056,38.54696655,23.105582
225,2057,31.56927593,25.8308239
225,2058,35.01831456,26.16456413
225,2059,28.29454761,22.30011869
225,2060,36.20173941,23.50610557
225,2061,36.21450011,24.07870904
225,2062,35.37194061,24.70119752
225,2063,30.46806665,23.20067082
225,2064,36.16664751,22.19738456
225,2065,33.68735632,24.00788619
225,2066,35.37726606,24.11542836
225,2067,36.54825403,22.9125899
225,2068,34.8805082,24.81766723
225,2069,36.72242096,23.41076564
226,2040,33.25498226,24.22950349
226,2041,33.70380411,20.02731603
226,2042,36.01842129,25.7436842
226,2043,35.19353818,22.47684135
226,2044,35.13451412,25.90968132
226,2045,31.21336987,24.82808322
226,2046,34.94251894,22.99540446
226,2047,37.67067484,23.93869745
226,2048,40.00131226,23.82115588
226,2049,36.59962596,26.56251335
226,2050,34.48660497,23.06832696
226,2051,34.70681876,26.52149773
226,2052,31.66618663,25.92945671
226,2053,33.33205177,25.8554821
226,2054,35.11169307,26.36964226
226,2055,33.11823998,25.65140887
226,2056,36.63255668,24.05851046
226,2057,34.71057468,24.22436954
226,2058,30.9288962,25.37159937
226,2059,29.07574661,21.34521454
226,2060,36.04297976,23.04018144
226,2061,36.55923094,24.15554615
226,2062,34.42119888,25.40867999
226,2063,30.69581553,22.88748006
226,2064,36.27079728,24.99013782
226,2065,31.13353851,23.99177846
226,2066,35.30075707,24.31625448
226,2067,33.84797896,23.85554448
226,2068,34.07008851,25.09967482
226,2069,36.98931807,23.73653077
227,2040,35.70049024,22.38477262
227,2041,30.9778584,21.13287216
227,2042,36.43799988,24.03690566
227,2043,34.07067977,26.59278679
227,2044,35.10673174,26.13599968
227,2045,30.00544168,24.56423208
227,2046,35.89779587,23.69363059
227,2047,38.52035522,24.65894174
227,2048,39.67929077,23.46923972
227,2049,35.55971933,25.99928093
227,2050,36.62245793,23.46739099
227,2051,32.93305721,21.73221958
227,2052,35.47498044,26.14112663
227,2053,34.32807209,25.66547393
227,2054,36.20755679,24.73351076
227,2055,32.64051331,23.94008433
227,2056,36.76032788,24.70605043
227,2057,37.16239207,24.91917319
227,2058,32.7759318,24.68533681
227,2059,30.13581123,20.80258291
227,2060,35.18314325,24.65183993
227,2061,36.77013392,25.74240556
